course_id,category,level,level_encoded,num_lectures,num_lessons,content_duration,lesson_type_variety,pct_video_lessons,offers_certificate,price,is_paid,rating,rating_count,quality_label
66,MARKETING,BEGINNER,0,17,17,7.91,3,0.102,1,21.3,1,3.4,7,1
67,PROGRAMMING,BEGINNER,0,5,5,0.95,3,0.787,0,0.0,0,3.6,146,0
68,SCIENCE,BEGINNER,0,53,52,31.22,3,0.731,1,23.83,1,4.2,17,1
69,PROGRAMMING,INTERMEDIATE,1,52,52,32.8,2,0.357,0,9.99,1,3.9,84,1
70,OTHER,INTERMEDIATE,1,40,40,16.93,3,0.772,0,13.75,1,3.8,329,1
71,LANGUAGE,INTERMEDIATE,1,9,8,3.44,3,0.459,0,74.3,1,3.1,129,0
72,PROGRAMMING,INTERMEDIATE,1,42,41,7.45,2,0.704,1,0.0,0,4.0,65,1
73,PROGRAMMING,ADVANCED,2,30,30,9.22,4,0.803,1,9.99,1,4.0,3,1
74,SCIENCE,INTERMEDIATE,1,29,29,6.7,3,0.953,1,16.35,1,3.9,32,1
75,MUSIC,ADVANCED,2,47,48,16.0,2,0.894,1,45.35,1,4.5,237,1
76,LANGUAGE,INTERMEDIATE,1,14,14,4.35,3,0.433,1,32.68,1,3.6,63,1
77,LANGUAGE,INTERMEDIATE,1,14,14,5.6,1,0.71,0,15.2,1,3.5,61,0
78,PROGRAMMING,BEGINNER,0,19,18,3.14,1,0.453,1,11.09,1,3.6,528,1
79,DESIGN,BEGINNER,0,115,115,52.92,1,0.833,1,71.56,1,4.9,462,1
80,PROGRAMMING,BEGINNER,0,6,7,4.89,3,0.622,1,27.56,1,3.6,19,1
81,SCIENCE,INTERMEDIATE,1,6,5,1.07,2,0.807,0,0.0,0,3.7,12,0
82,PHOTOGRAPHY,INTERMEDIATE,1,19,19,4.82,4,0.621,1,0.0,0,3.3,194,1
83,DESIGN,INTERMEDIATE,1,53,52,17.33,4,0.528,0,27.22,1,3.7,14,1
84,PROGRAMMING,INTERMEDIATE,1,53,53,20.36,4,0.841,1,9.99,1,4.5,130,1
85,DESIGN,INTERMEDIATE,1,74,75,60.7,1,0.752,1,0.0,0,4.7,47,1
86,DESIGN,ADVANCED,2,8,9,0.54,1,0.345,0,12.32,1,3.5,22,0
87,LANGUAGE,INTERMEDIATE,1,59,59,21.58,4,0.235,0,9.99,1,3.8,96,1
88,PHOTOGRAPHY,INTERMEDIATE,1,63,63,8.01,1,0.25,0,26.53,1,4.2,173,1
89,MATH,BEGINNER,0,5,4,0.43,1,0.712,1,9.99,1,3.4,573,0
90,BUSINESS,ADVANCED,2,36,35,16.25,3,0.778,1,14.7,1,4.0,85,1
91,PROGRAMMING,BEGINNER,0,65,64,9.55,3,0.461,0,108.0,1,3.9,429,1
92,MUSIC,INTERMEDIATE,1,13,12,5.9,2,0.747,0,10.66,1,3.5,29,0
93,LANGUAGE,BEGINNER,0,31,30,3.49,1,0.861,0,41.09,1,3.7,256,1
94,MARKETING,INTERMEDIATE,1,59,58,20.93,2,0.834,1,0.0,0,4.5,17,1
95,LANGUAGE,INTERMEDIATE,1,51,52,16.69,1,0.704,1,9.99,1,4.2,226,1
96,BUSINESS,ADVANCED,2,22,21,11.04,2,0.912,0,0.0,0,3.7,15,0
97,MARKETING,INTERMEDIATE,1,37,36,15.21,3,0.557,1,26.64,1,4.0,466,1
98,BUSINESS,ADVANCED,2,29,28,11.92,2,0.756,0,45.1,1,3.6,31,1
99,PROGRAMMING,ADVANCED,2,16,15,6.14,3,0.925,0,20.78,1,3.4,48,0
100,PROGRAMMING,ADVANCED,2,18,18,9.8,1,0.671,0,20.37,1,3.6,98,0
101,PROGRAMMING,ADVANCED,2,19,18,4.83,3,0.371,1,26.29,1,3.6,25,1
102,PHOTOGRAPHY,BEGINNER,0,20,19,3.63,1,0.82,1,9.99,1,3.6,181,1
103,DESIGN,ADVANCED,2,35,36,5.8,3,0.437,1,9.99,1,3.6,175,1
104,BUSINESS,BEGINNER,0,41,40,8.34,2,0.676,0,32.28,1,3.6,782,1
105,MATH,ADVANCED,2,29,29,5.25,1,0.585,1,0.0,0,3.7,55,1
106,PROGRAMMING,BEGINNER,0,4,5,1.59,1,0.719,0,0.0,0,3.4,72,0
107,BUSINESS,ADVANCED,2,48,47,14.56,4,0.613,1,9.99,1,4.1,663,1
108,LANGUAGE,ADVANCED,2,18,17,4.86,2,0.892,0,41.14,1,3.3,12,0
109,PROGRAMMING,BEGINNER,0,13,13,4.66,3,0.682,0,50.67,1,3.6,235,0
110,PROGRAMMING,ADVANCED,2,4,5,3.24,4,0.378,1,15.91,1,3.8,12,1
111,DESIGN,BEGINNER,0,33,34,8.23,1,0.529,1,9.99,1,3.8,118,1
112,PROGRAMMING,BEGINNER,0,47,48,13.19,1,0.439,0,71.64,1,4.1,61,1
113,OTHER,BEGINNER,0,12,11,11.94,2,0.863,0,39.02,1,3.5,30,0
114,SCIENCE,BEGINNER,0,26,27,3.01,2,0.918,0,46.43,1,3.7,38,1
115,PHOTOGRAPHY,BEGINNER,0,112,112,26.05,2,0.59,0,19.29,1,4.7,246,1
116,MATH,ADVANCED,2,28,29,7.89,3,0.924,0,9.99,1,3.9,249,1
117,SCIENCE,ADVANCED,2,50,50,10.88,2,0.591,0,17.43,1,3.9,11,1
118,PROGRAMMING,INTERMEDIATE,1,15,14,2.67,3,0.643,1,25.08,1,3.4,43,1
119,MATH,INTERMEDIATE,1,15,15,3.02,3,0.758,0,43.12,1,3.2,70,0
120,MARKETING,INTERMEDIATE,1,37,36,8.23,2,0.971,1,0.0,0,4.0,303,1
121,SCIENCE,INTERMEDIATE,1,13,12,2.69,4,0.857,0,9.99,1,3.5,126,0
122,MATH,BEGINNER,0,32,33,8.78,1,0.809,0,26.48,1,3.4,264,0
123,DESIGN,BEGINNER,0,18,19,1.79,2,0.898,1,17.54,1,3.3,53,1
124,PROGRAMMING,ADVANCED,2,52,52,14.99,2,0.586,1,10.01,1,4.4,332,1
125,PROGRAMMING,BEGINNER,0,30,29,9.03,4,0.461,1,9.99,1,3.7,197,1
126,BUSINESS,BEGINNER,0,19,18,2.04,1,0.74,1,17.07,1,3.6,37,1
127,SCIENCE,INTERMEDIATE,1,13,14,2.17,4,0.609,1,9.99,1,3.4,172,1
128,SCIENCE,ADVANCED,2,16,15,5.71,2,0.659,1,9.99,1,3.5,206,1
129,PROGRAMMING,INTERMEDIATE,1,34,35,6.48,1,0.567,1,17.02,1,3.9,48,1
130,BUSINESS,ADVANCED,2,43,42,20.09,2,0.9,0,9.99,1,4.0,15,1
131,BUSINESS,ADVANCED,2,19,19,3.83,4,0.76,0,9.99,1,3.5,78,1
132,PROGRAMMING,INTERMEDIATE,1,29,28,10.23,2,0.715,0,9.99,1,3.8,34,1
133,PROGRAMMING,INTERMEDIATE,1,65,66,9.21,2,0.163,1,9.99,1,4.6,186,1
134,DESIGN,ADVANCED,2,10,10,1.25,4,0.583,0,9.99,1,3.4,18,0
135,OTHER,INTERMEDIATE,1,16,15,2.31,4,0.416,0,0.0,0,3.6,45,1
136,DESIGN,BEGINNER,0,54,55,31.48,1,0.848,0,9.99,1,3.8,98,1
137,BUSINESS,INTERMEDIATE,1,11,12,4.66,1,0.123,1,24.83,1,3.4,19,0
138,MUSIC,INTERMEDIATE,1,48,47,14.91,4,0.79,1,9.99,1,3.8,13,1
139,DESIGN,BEGINNER,0,40,41,7.83,2,0.683,0,0.0,0,3.7,132,1
140,OTHER,INTERMEDIATE,1,95,94,15.19,4,0.99,0,16.67,1,4.2,38,1
141,OTHER,ADVANCED,2,40,39,11.68,2,0.799,0,0.0,0,3.8,60,1
142,DESIGN,ADVANCED,2,16,15,1.66,2,0.955,1,21.65,1,3.4,443,1
143,BUSINESS,BEGINNER,0,300,299,127.19,3,0.967,0,9.99,1,4.8,551,1
144,DESIGN,BEGINNER,0,17,18,3.34,2,0.806,1,13.34,1,3.7,7,1
145,DESIGN,INTERMEDIATE,1,17,17,5.43,3,0.665,0,9.99,1,3.2,36,0
146,PROGRAMMING,ADVANCED,2,29,29,4.91,3,0.441,1,18.32,1,3.8,1469,1
147,MARKETING,ADVANCED,2,175,174,37.55,4,0.492,0,9.99,1,4.9,10,1
148,BUSINESS,BEGINNER,0,21,21,5.3,2,0.646,1,11.39,1,3.6,12,1
149,PROGRAMMING,INTERMEDIATE,1,11,10,1.55,1,0.795,1,18.36,1,3.5,13,1
150,DESIGN,INTERMEDIATE,1,35,35,21.65,4,0.853,1,15.11,1,4.0,120,1
151,MATH,BEGINNER,0,69,68,11.61,3,0.733,1,9.99,1,4.7,524,1
152,PROGRAMMING,BEGINNER,0,11,11,2.2,1,0.213,1,12.6,1,3.7,110,1
153,PROGRAMMING,INTERMEDIATE,1,14,14,5.91,3,0.706,0,11.64,1,3.4,113,0
154,BUSINESS,INTERMEDIATE,1,14,13,2.05,1,0.694,1,11.01,1,3.7,171,1
155,OTHER,ADVANCED,2,4,4,1.77,4,0.403,0,31.95,1,3.4,73,0
156,PROGRAMMING,INTERMEDIATE,1,18,18,3.13,2,0.66,0,9.99,1,3.6,22,0
157,MUSIC,BEGINNER,0,19,20,9.28,4,0.184,0,28.33,1,3.5,447,1
158,LANGUAGE,BEGINNER,0,18,19,4.57,4,0.684,0,9.99,1,3.4,19,1
159,PROGRAMMING,BEGINNER,0,80,80,18.5,4,0.608,0,9.99,1,4.3,35,1
160,LANGUAGE,BEGINNER,0,65,64,8.36,2,0.65,0,9.99,1,3.9,1334,1
161,DESIGN,BEGINNER,0,10,11,4.91,1,0.877,0,14.64,1,3.3,37,0
162,PHOTOGRAPHY,BEGINNER,0,17,18,9.37,1,0.189,0,18.75,1,3.6,49,0
163,PHOTOGRAPHY,BEGINNER,0,11,10,4.09,2,0.425,0,11.98,1,3.2,1218,0
164,MARKETING,BEGINNER,0,19,18,4.23,1,0.91,0,30.49,1,3.6,96,0
165,PROGRAMMING,INTERMEDIATE,1,47,46,8.39,1,0.493,0,14.29,1,3.8,659,1
166,SCIENCE,INTERMEDIATE,1,32,33,18.6,4,0.783,0,11.42,1,3.7,165,1
167,DESIGN,ADVANCED,2,18,18,10.16,3,0.934,1,41.94,1,3.7,25,1
168,PROGRAMMING,ADVANCED,2,47,47,30.03,1,0.511,0,9.99,1,3.8,79,1
169,PROGRAMMING,INTERMEDIATE,1,7,6,1.41,2,0.924,0,28.46,1,3.5,23,0
170,MARKETING,BEGINNER,0,8,9,3.43,3,0.983,1,36.81,1,3.3,19,1
171,MUSIC,INTERMEDIATE,1,104,105,19.54,3,0.81,0,10.55,1,4.2,34,1
172,PROGRAMMING,INTERMEDIATE,1,20,21,7.08,3,0.971,1,9.99,1,3.6,54,1
173,BUSINESS,ADVANCED,2,15,16,4.64,4,0.754,0,10.92,1,3.6,37,1
174,PROGRAMMING,ADVANCED,2,39,40,5.77,3,0.961,0,41.54,1,3.8,777,1
175,PHOTOGRAPHY,ADVANCED,2,30,29,5.92,3,0.815,0,13.9,1,3.6,18,1
176,PROGRAMMING,INTERMEDIATE,1,7,8,3.7,1,0.803,0,20.24,1,3.4,54,0
177,MUSIC,BEGINNER,0,35,36,10.83,2,0.944,1,20.24,1,4.0,275,1
178,BUSINESS,ADVANCED,2,24,23,10.08,2,0.747,0,0.0,0,3.2,15,0
179,OTHER,ADVANCED,2,33,34,7.77,1,0.762,1,9.99,1,3.5,82,1
180,PROGRAMMING,INTERMEDIATE,1,39,38,7.43,4,0.624,0,9.99,1,3.8,6,1
181,DESIGN,INTERMEDIATE,1,67,68,32.8,1,0.95,1,17.67,1,4.5,53,1
182,PROGRAMMING,INTERMEDIATE,1,17,18,2.91,3,0.909,0,12.09,1,3.7,378,0
183,OTHER,BEGINNER,0,15,14,1.59,3,0.751,0,26.89,1,3.5,4,0
184,MATH,BEGINNER,0,28,27,6.48,2,0.425,1,9.99,1,3.5,230,1
185,DESIGN,BEGINNER,0,46,47,9.57,1,0.262,0,9.99,1,4.1,69,1
186,PHOTOGRAPHY,ADVANCED,2,19,20,8.38,2,0.1,1,9.99,1,3.9,109,1
187,SCIENCE,ADVANCED,2,11,10,1.24,3,0.903,0,9.99,1,3.5,346,0
188,MARKETING,BEGINNER,0,43,42,22.61,3,0.381,0,35.87,1,3.9,97,1
189,MARKETING,BEGINNER,0,30,30,12.23,4,0.552,1,18.32,1,3.9,133,1
190,PROGRAMMING,BEGINNER,0,18,19,8.09,3,0.882,0,39.61,1,3.9,142,1
191,PROGRAMMING,INTERMEDIATE,1,9,8,2.33,1,0.348,1,22.41,1,3.9,132,1
192,MATH,BEGINNER,0,12,12,3.78,3,0.845,0,29.87,1,3.7,45,0
193,MATH,INTERMEDIATE,1,8,8,2.78,2,0.197,0,25.25,1,3.3,76,0
194,PHOTOGRAPHY,INTERMEDIATE,1,59,59,7.38,4,0.772,1,0.0,0,4.3,133,1
195,DESIGN,BEGINNER,0,5,5,1.31,4,0.858,0,42.08,1,3.2,91,0
196,DESIGN,ADVANCED,2,39,38,11.3,1,0.835,0,0.0,0,3.7,376,1
197,LANGUAGE,BEGINNER,0,36,35,9.39,2,0.918,0,42.66,1,3.7,260,1
198,MATH,INTERMEDIATE,1,12,13,2.29,4,0.686,1,9.99,1,3.4,7,1
199,MATH,ADVANCED,2,82,82,17.32,1,0.588,0,44.73,1,4.0,14,1
200,LANGUAGE,ADVANCED,2,26,25,2.72,2,0.432,1,15.03,1,3.8,632,1
201,PHOTOGRAPHY,ADVANCED,2,8,8,1.16,2,0.892,1,9.99,1,3.3,212,1
202,PROGRAMMING,INTERMEDIATE,1,20,21,8.58,2,0.911,0,9.99,1,3.4,112,0
203,PROGRAMMING,BEGINNER,0,66,65,58.73,2,0.865,0,15.4,1,4.4,5,1
204,MATH,BEGINNER,0,33,32,8.43,1,0.334,1,9.99,1,3.7,78,1
205,MARKETING,BEGINNER,0,39,40,4.84,3,0.999,0,36.96,1,3.5,166,1
206,PROGRAMMING,BEGINNER,0,11,11,2.38,4,0.81,0,11.13,1,3.6,185,0
207,PROGRAMMING,BEGINNER,0,102,101,26.95,2,0.875,0,9.99,1,4.8,70,1
208,PHOTOGRAPHY,INTERMEDIATE,1,33,32,5.19,2,0.759,0,9.99,1,3.7,471,1
209,PROGRAMMING,BEGINNER,0,14,15,2.37,4,0.711,0,9.99,1,3.4,95,0
210,PROGRAMMING,BEGINNER,0,14,14,3.27,3,0.906,0,23.49,1,3.5,273,0
211,MARKETING,INTERMEDIATE,1,5,5,3.14,4,0.869,1,18.98,1,3.6,30,1
212,MUSIC,BEGINNER,0,42,43,12.84,3,0.584,0,9.99,1,3.8,21,1
213,PHOTOGRAPHY,INTERMEDIATE,1,16,16,4.25,3,0.607,1,9.99,1,3.6,400,1
214,PROGRAMMING,INTERMEDIATE,1,127,128,15.09,1,0.998,0,9.99,1,5.0,144,1
215,MUSIC,ADVANCED,2,53,52,7.53,3,0.593,1,16.68,1,4.3,13,1
216,PROGRAMMING,INTERMEDIATE,1,17,16,3.26,2,0.987,0,9.99,1,3.5,19,0
217,DESIGN,ADVANCED,2,7,7,1.22,4,0.202,1,35.22,1,3.4,21,1
218,LANGUAGE,ADVANCED,2,65,64,17.64,1,0.767,1,12.77,1,4.4,27,1
219,PHOTOGRAPHY,INTERMEDIATE,1,8,8,1.61,1,0.631,1,58.34,1,3.8,35,1
220,SCIENCE,BEGINNER,0,45,44,8.26,2,0.564,0,11.67,1,4.2,138,1
221,PHOTOGRAPHY,INTERMEDIATE,1,35,36,5.7,3,0.417,0,9.99,1,3.5,131,1
222,MARKETING,INTERMEDIATE,1,13,14,3.99,3,0.247,0,15.37,1,3.2,28,0
223,PROGRAMMING,BEGINNER,0,43,44,21.0,1,0.848,0,19.2,1,4.1,493,1
224,DESIGN,ADVANCED,2,32,33,11.6,2,0.48,0,0.0,0,3.7,918,1
225,DESIGN,BEGINNER,0,9,8,4.96,3,0.721,1,12.12,1,3.6,105,1
226,PROGRAMMING,BEGINNER,0,56,57,6.59,2,0.918,0,17.93,1,4.0,9,1
227,OTHER,INTERMEDIATE,1,55,54,26.09,4,0.301,1,9.99,1,4.0,112,1
228,BUSINESS,BEGINNER,0,45,45,12.19,1,0.721,0,9.99,1,3.8,142,1
229,MATH,ADVANCED,2,5,5,1.09,1,0.932,0,63.55,1,3.6,9,0
230,PHOTOGRAPHY,ADVANCED,2,14,15,8.61,2,0.713,0,9.99,1,3.2,216,0
231,LANGUAGE,BEGINNER,0,54,55,16.83,4,0.726,1,30.71,1,4.2,62,1
232,BUSINESS,ADVANCED,2,43,43,15.02,2,0.811,0,84.14,1,3.9,272,1
233,MARKETING,ADVANCED,2,22,22,2.7,1,0.358,0,30.29,1,3.5,13,0
234,BUSINESS,BEGINNER,0,5,5,3.78,1,0.506,1,9.99,1,4.0,220,0
235,PROGRAMMING,INTERMEDIATE,1,23,22,5.9,2,0.646,1,21.56,1,3.8,169,1
236,LANGUAGE,BEGINNER,0,95,95,19.35,2,0.137,0,9.99,1,4.1,70,1
237,DESIGN,INTERMEDIATE,1,26,27,16.38,3,0.788,1,9.99,1,4.0,19,1
238,PROGRAMMING,INTERMEDIATE,1,29,30,6.1,3,0.495,0,9.99,1,3.9,18,1
239,PHOTOGRAPHY,INTERMEDIATE,1,32,31,7.47,1,0.864,0,0.0,0,3.6,504,1
240,PROGRAMMING,INTERMEDIATE,1,12,13,8.23,1,0.556,0,74.04,1,3.6,18,0
241,OTHER,BEGINNER,0,22,23,5.86,1,0.33,0,27.26,1,3.5,58,0
242,OTHER,BEGINNER,0,6,7,1.38,2,0.825,1,76.01,1,3.4,11,0
243,MATH,BEGINNER,0,69,70,20.67,2,0.502,1,9.99,1,4.5,95,1
244,BUSINESS,INTERMEDIATE,1,10,11,4.84,3,0.34,0,9.99,1,3.6,35,0
245,PROGRAMMING,INTERMEDIATE,1,13,13,4.16,3,0.876,0,33.3,1,3.6,293,0
246,OTHER,BEGINNER,0,24,24,8.08,3,0.463,1,13.16,1,3.9,1012,1
247,BUSINESS,BEGINNER,0,9,8,2.17,4,0.488,1,48.08,1,3.8,129,1
248,OTHER,BEGINNER,0,66,65,8.93,1,0.432,1,9.99,1,4.3,459,1
249,OTHER,INTERMEDIATE,1,13,12,1.61,1,0.254,0,25.11,1,3.4,143,0
250,SCIENCE,BEGINNER,0,40,41,8.81,1,0.533,0,27.8,1,3.6,85,1
251,DESIGN,INTERMEDIATE,1,14,14,2.36,1,0.371,1,9.99,1,3.6,118,1
252,BUSINESS,INTERMEDIATE,1,53,53,12.73,4,0.508,0,9.99,1,3.9,84,1
253,SCIENCE,BEGINNER,0,12,12,3.26,1,0.941,1,0.0,0,3.5,78,1
254,DESIGN,ADVANCED,2,64,65,14.11,4,0.439,0,9.99,1,4.2,1203,1
255,PROGRAMMING,BEGINNER,0,13,12,3.77,2,0.24,1,9.99,1,3.5,411,1
256,MARKETING,BEGINNER,0,18,17,2.14,1,0.121,1,22.29,1,3.7,18,1
257,OTHER,BEGINNER,0,13,13,2.51,4,0.562,1,9.99,1,3.4,31,1
258,MUSIC,ADVANCED,2,14,15,3.76,4,0.207,1,0.0,0,3.4,734,1
259,MARKETING,BEGINNER,0,8,7,4.34,4,0.595,0,18.24,1,3.7,22,0
260,PROGRAMMING,INTERMEDIATE,1,244,245,154.78,2,0.55,1,17.09,1,5.0,37,1
261,MARKETING,ADVANCED,2,28,27,7.48,4,0.887,0,9.99,1,3.6,247,1
262,OTHER,INTERMEDIATE,1,36,36,6.18,4,0.575,1,56.37,1,3.5,486,1
263,PROGRAMMING,BEGINNER,0,33,33,12.26,2,0.748,0,9.99,1,3.5,75,1
264,BUSINESS,INTERMEDIATE,1,7,7,0.81,4,0.574,1,25.58,1,3.5,668,1
265,MATH,BEGINNER,0,16,16,7.66,1,0.771,0,32.23,1,3.6,91,0
266,LANGUAGE,INTERMEDIATE,1,62,61,19.35,3,0.394,0,16.45,1,3.9,136,1
267,MUSIC,ADVANCED,2,10,10,2.25,4,0.687,1,9.99,1,3.5,39,1
268,MUSIC,ADVANCED,2,19,18,6.22,2,0.947,0,9.99,1,3.5,25,0
269,DESIGN,BEGINNER,0,18,18,7.28,1,0.595,0,0.0,0,3.3,528,0
270,DESIGN,INTERMEDIATE,1,6,5,0.99,3,0.932,1,9.99,1,3.5,969,1
271,SCIENCE,BEGINNER,0,28,29,4.25,2,0.261,0,61.23,1,3.6,280,1
272,SCIENCE,INTERMEDIATE,1,11,10,5.52,3,0.781,1,37.47,1,3.6,598,1
273,SCIENCE,INTERMEDIATE,1,8,8,1.42,1,0.677,0,15.77,1,3.5,22,0
274,MATH,INTERMEDIATE,1,20,21,4.24,4,0.924,0,10.4,1,3.6,120,1
275,BUSINESS,INTERMEDIATE,1,17,17,6.9,2,0.482,0,12.44,1,3.6,193,0
276,BUSINESS,INTERMEDIATE,1,24,23,9.69,1,0.732,1,0.0,0,3.7,186,1
277,LANGUAGE,BEGINNER,0,31,32,5.86,3,0.985,1,28.88,1,3.7,11,1
278,PHOTOGRAPHY,BEGINNER,0,19,20,9.11,2,0.604,1,11.03,1,3.5,110,1
279,MUSIC,INTERMEDIATE,1,9,10,1.78,2,0.863,0,21.87,1,3.2,19,0
280,LANGUAGE,BEGINNER,0,26,25,4.96,3,0.794,1,31.86,1,3.6,177,1
